epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8202,0.60003,2.64886,1.21052,0.0047,1,0.45739,0.37003,0.17005,2.93173,0.23493,0.00031673,0.00031673,0.00031673
2,55.0067,0.25439,2.31641,0.98619,0.0041,1,0.67965,0.59376,0.26617,2.84817,0.34115,0.000628676,0.000628676,0.000628676
3,83.4282,0.29105,1.92963,0.98964,0.00431,1,0.75208,0.67924,0.44773,2.57746,0.49388,0.000918617,0.000918617,0.000918617
4,112.874,0.31229,1.59984,0.97285,0.54791,0.88889,0.70631,0.59165,0.65119,2.67183,0.81635,0.00118655,0.00118655,0.00118655
5,142.293,0.3307,1.36023,1.00391,0.40675,0.72747,0.59954,0.54426,0.41704,1.92211,0.52663,0.00143249,0.00143249,0.00143249
6,170.553,0.3161,1.21334,0.95949,0.42207,0.83333,0.73408,0.46406,0.8413,3.08101,0.78266,0.00139195,0.00139195,0.00139195
7,199.005,0.30192,1.17533,0.96835,0.68274,0.79798,0.81545,0.77561,0.35959,1.45379,0.42645,0.00133693,0.00133693,0.00133693
8,228.749,0.26464,1.00557,0.94385,0.61114,0.90909,0.7963,0.74115,0.36117,1.39981,0.43762,0.00128192,0.00128192,0.00128192
9,258.637,0.27532,1.00912,0.95818,0.45584,0.63156,0.53918,0.33042,0.91343,2.67377,0.97222,0.00122691,0.00122691,0.00122691
10,288.025,0.27379,0.90966,0.94535,0.5692,0.67079,0.62323,0.42439,0.72875,1.97955,0.85812,0.0011719,0.0011719,0.0011719
11,317.298,0.27923,0.89686,0.97018,0.88615,0.85345,0.92397,0.88925,0.27716,1.06127,0.30461,0.00111689,0.00111689,0.00111689
12,346.867,0.22566,0.84183,0.94167,0.73908,0.80973,0.86883,0.7759,0.35276,1.28273,0.40283,0.00106188,0.00106188,0.00106188
13,377.603,0.24289,0.82673,0.97111,0.78999,0.81061,0.89486,0.87441,0.30827,1.22063,0.3494,0.00100687,0.00100687,0.00100687
14,406.048,0.23583,0.87433,0.95344,0.54724,0.80556,0.74943,0.7284,0.27528,1.7905,0.31671,0.000951857,0.000951857,0.000951857
15,434.71,0.21401,0.81176,0.92678,0.69415,0.75,0.72385,0.67013,0.41361,1.80298,0.41014,0.000896846,0.000896846,0.000896846
16,464.119,0.2004,0.82487,0.91447,0.78339,0.75505,0.8484,0.80419,0.40805,1.33458,0.43646,0.000841835,0.000841835,0.000841835
17,496.47,0.20015,0.7855,0.93846,0.78681,0.7991,0.89813,0.86835,0.27155,1.08356,0.29037,0.000786824,0.000786824,0.000786824
18,556.621,0.19329,0.78826,0.92789,0.76895,0.88003,0.92153,0.89406,0.22295,0.94276,0.25966,0.000731813,0.000731813,0.000731813
19,585.657,0.1893,0.71918,0.92313,0.84464,0.78219,0.93393,0.92939,0.23275,1.06752,0.265,0.000676802,0.000676802,0.000676802
20,614.053,0.17536,0.70204,0.91557,0.65111,0.80556,0.90989,0.90705,0.23715,1.47507,0.26166,0.000621791,0.000621791,0.000621791
21,642.46,0.1694,1.31466,0.9535,0.73958,0.94226,0.95527,0.95527,0.14244,1.35906,0.18203,0.00056678,0.00056678,0.00056678
22,671.432,0.12653,0.9444,0.92974,0.85169,0.9366,0.97817,0.97817,0.16704,0.79917,0.18532,0.000511769,0.000511769,0.000511769
23,700.012,0.15477,0.7368,0.95831,0.95444,0.88096,0.97909,0.97441,0.20308,0.82294,0.19904,0.000456758,0.000456758,0.000456758
24,728.044,0.1328,0.72453,0.93748,0.96731,0.87626,0.97095,0.97095,0.15511,0.88055,0.16077,0.000401747,0.000401747,0.000401747
25,756.422,0.11965,0.66746,0.90764,0.90497,0.89857,0.97252,0.96892,0.14242,0.95362,0.1524,0.000346736,0.000346736,0.000346736
26,784.305,0.11235,0.63861,0.94525,0.85525,0.97222,0.97835,0.97835,0.12142,0.84456,0.1417,0.000291725,0.000291725,0.000291725
27,812.806,0.10208,0.59726,0.90085,0.84293,0.99395,0.98903,0.98903,0.1712,0.77829,0.17501,0.000236714,0.000236714,0.000236714
28,841.032,0.09933,0.59936,0.92416,0.88201,0.96917,0.99413,0.99413,0.19094,0.6977,0.18827,0.000181703,0.000181703,0.000181703
29,869.23,0.08734,0.51052,0.90644,0.94854,1,0.99281,0.99281,0.19306,0.61767,0.19062,0.000126692,0.000126692,0.000126692
30,945.663,0.08621,0.56945,0.91832,0.96623,0.97283,0.99281,0.99281,0.18186,0.59762,0.18259,7.1681e-05,7.1681e-05,7.1681e-05
